,beta,original,approx
0,0.0,0.00176692578125,0.0004279441194827698
1,0.010101010101010102,0.0008162332157011209,0.0004256136706148681
2,0.020202020202020204,0.0005978061240175211,0.0004232959126373856
3,0.030303030303030304,0.0005255652054011183,0.0004209907764397309
4,0.04040404040404041,0.0004865268927373814,0.000418698193287667
5,0.05050505050505051,0.0004578567256499484,0.0004164180948212619
6,0.06060606060606061,0.0004344085695831926,0.0004141504130528504
7,0.07070707070707072,0.00041466014385499553,0.0004118950803650066
8,0.08080808080808081,0.00039790229386355903,0.00040965202950852777
9,0.09090909090909091,0.00038365484182490854,0.00040742119360042924
10,0.10101010101010102,0.00037153571248309107,0.00040520250612194987
11,0.11111111111111112,0.0003612256328590652,0.000402995900916569
12,0.12121212121212122,0.000352454260462741,0.00040080131218803324
13,0.13131313131313133,0.0003449918854501985,0.00039861867449839507
14,0.14141414141414144,0.0003386431436600207,0.00039644792276606134
15,0.15151515151515152,0.00033324184056260657,0.00039428899226385275
16,0.16161616161616163,0.0003286465866664302,0.00039214181861707385
17,0.17171717171717174,0.0003247370931546651,0.00039000633780159353
18,0.18181818181818182,0.00032141102237161423,0.0003878824861419359
19,0.19191919191919193,0.00031858130878816053,0.0003857702003093816
20,0.20202020202020204,0.00031617387987435984,0.0003836694173200797
21,0.21212121212121213,0.00031412571711665377,0.00038158007453316915
22,0.22222222222222224,0.00031238320639979543,0.00037950210964891174
23,0.23232323232323235,0.0003109007345664389,0.00037743546070683365
24,0.24242424242424243,0.00030963949541568624,0.0003753800660838784
25,0.25252525252525254,0.00030856647388529236,0.00037333586449256936
26,0.26262626262626265,0.0003076535818267149,0.000371302794979182
27,0.27272727272727276,0.00030687692275044445,0.00036928079692192677
28,0.2828282828282829,0.000306216166295083,0.00036726981002914113
29,0.29292929292929293,0.0003056540160458406,0.000365269774337492
30,0.30303030303030304,0.00030517575677170236,0.00036328063021018786
31,0.31313131313131315,0.00030476886922943503,0.00036130231833520003
32,0.32323232323232326,0.00030442270245127753,0.00035933477972349486
33,0.33333333333333337,0.0003041281949378938,0.00035737795570727415
34,0.3434343434343435,0.0003038776374583429,0.000355431787938226
35,0.3535353535353536,0.00030366447124795443,0.0003534962183857853
36,0.36363636363636365,0.00030348311632160047,0.0003515711893354028
37,0.37373737373737376,0.00030332882540817243,0.0003496566433868248
38,0.38383838383838387,0.0003031975596827518,0.00034775252345238094
39,0.393939393939394,0.0003030858830435552,0.00034585877275528277
40,0.4040404040404041,0.00030299087216617435,0.00034397533482793003
41,0.4141414141414142,0.0003029100399806286,0.00034210215351022737
42,0.42424242424242425,0.00030284127056811255,0.00034023917294790946
43,0.43434343434343436,0.00030278276377325273,0.00033838633759087597
44,0.4444444444444445,0.00030273298808200375,0.0003365435921915346
45,0.4545454545454546,0.00030269064053168503,0.0003347108818031543
46,0.4646464646464647,0.0003026546126037348,0.0003328881517782265
47,0.4747474747474748,0.00030262396120636653,0.0003310753477668357
48,0.48484848484848486,0.00030259788398755095,0.0003292724157150391
49,0.494949494949495,0.00030257569833209844,0.0003274793018632543
50,0.5050505050505051,0.0003025568234930544,0.0003256959527446571
51,0.5151515151515152,0.00030254076538966865,0.00032392231518358646
52,0.5252525252525253,0.00030252710367399807,0.00032215833629395933
53,0.5353535353535354,0.00030251548072759017,0.0003204039634776936
54,0.5454545454545455,0.0003025055923002171,0.0003186591444231397
55,0.5555555555555556,0.0003024971795456125,0.000316923827103521
56,0.5656565656565657,0.00030249002224573383,0.00031519795977538213
57,0.5757575757575758,0.00030248393304618376,0.0003134814909770463
58,0.5858585858585859,0.00030247875255189267,0.00031177436952708093
59,0.595959595959596,0.0003024743451546841,0.00031007654452277117
60,0.6060606060606061,0.00030247059548350164,0.00030838796533860265
61,0.6161616161616162,0.00030246740538437706,0.0003067085816247512
62,0.6262626262626263,0.0003024646913510847,0.00030503834330558225
63,0.6363636363636365,0.00030246238233922504,0.00030337720057815724
64,0.6464646464646465,0.0003024604179065179,0.00030172510391074874
65,0.6565656565656566,0.0003024587466306234,0.0003000820040413635
66,0.6666666666666667,0.000302457324763076,0.0002984478519762735
67,0.6767676767676768,0.0003024561150840941,0.00029682259898855534
68,0.686868686868687,0.00030245508592828996,0.0002952061966166368
69,0.696969696969697,0.0003024542103557744,0.0002935985966628525
70,0.7070707070707072,0.0003024534654469599,0.0002919997511920058
71,0.7171717171717172,0.00030245283170260163,0.00029040961252994066
72,0.7272727272727273,0.00030245229253337213,0.00028882813326211904
73,0.7373737373737375,0.0003024518338256072,0.00028725526623220776
74,0.7474747474747475,0.00030245144357185754,0.0002856909645406721
75,0.7575757575757577,0.00030245111155657287,0.00028413518154337737
76,0.7676767676767677,0.00030245082908869294,0.00028258787085019827
77,0.7777777777777778,0.0003024505887741447,0.00028104898632363545
78,0.787878787878788,0.0003024503843222894,0.0002795184820774398
79,0.797979797979798,0.00030245021038125485,0.00027799631247524433
80,0.8080808080808082,0.00030245006239784113,0.00027648243212920334
