# N_SIM_TAGS = 3000
# EXT_SCENARIO_MULT = 2000
# TARI = 1.25e-05
# RTCAL = 3.7500000000000003e-05
# TRCAL = 5.6250000000000005e-05
# Q = 2
# T_OFF = 0.1
# M = M2
# DR = 64/3
# TREXT = 0
# N_DATA_WORDS = 4
# N_EPCID_BYTES = 12
# TIME_IN_AREA = 2.5
ber,interval,scenario,id_type,p_sim,p_ana,t_sim,t_ana
0.0,0.2,Ax,EPCID,0.5916666666666667,0.6066206539787934,0.0547657229981268,0.23234138400221127
0.0,0.2,Ax,TID,0.595,0.6054371271842193,0.0539326100006292,0.2577888529995107
0.0,0.2,AAx,EPCID,0.849,0.8503845635088947,0.1006962869978451,0.3854627969994908
0.0,0.2,AAx,TID,0.8453333333333334,0.8513632134074894,0.0986222280007496,0.3734154590019898
0.0,0.2,AAAAx,EPCID,0.9863333333333332,0.9861288536400655,0.1939177079984801,0.6421371969991014
0.0,0.2,AAAAx,TID,0.985,0.9833287650595192,0.1843453820001741,0.658008153000992
0.0,0.2,AB,EPCID,1.0,0.999999999854573,1.7063682519983558,0.4018659180001123
0.0,0.2,AB,TID,1.0,0.999999359081704,1.0422124510005233,0.43322513199746027
0.0,0.2,AAAABBBB,EPCID,1.0,0.9999999999984911,1.5341064299973368,1.1414728319978167
0.0,0.2,AAAABBBB,TID,1.0,0.9999999174879963,0.9327920370014908,1.7405676220005262
0.0,0.2,A,EPCID,1.0,1.0000000000000002,0.0667601599998306,0.2698484870015818
0.0,0.2,A,TID,1.0,0.9999999999999998,0.0679084430012153,0.3040919910017692
0.0,0.2,ABABx,EPCID,0.8173333333333334,0.8261667144530112,0.1377653270028531,0.7720674829979544
0.0,0.2,ABABx,TID,0.8016666666666666,0.8118426271549932,0.1346985669988498,0.7794703409999784
0.0,0.2,AAAAxABABx,EPCID,0.9533333333333334,0.9511574740336374,0.1718976129996008,1.2439855150005314
0.0,0.2,AAAAxABABx,TID,0.943,0.9421812587698856,0.1571747699999832,1.2579526780027663
0.0,0.4,Ax,EPCID,0.9986666666666668,0.9982042453505747,0.1031202029989799,0.07031790600012755
0.0,0.4,Ax,TID,0.998,0.9975801761438283,0.1027458870012196,0.08563974299977417
0.0,0.4,AAx,EPCID,1.0,0.9999997808585324,0.1956682259988156,0.14222832800078322
0.0,0.4,AAx,TID,1.0,0.9999991398323461,0.1803355119991465,0.13975596800082712
0.0,0.4,AAAAx,EPCID,1.0,1.000000000000009,0.3240049460000591,0.2944260789990949
0.0,0.4,AAAAx,TID,1.0,0.9999999999999856,0.2946171379990119,0.2933931690022291
0.0,0.4,AB,EPCID,1.0,0.9999999999999681,2.7827610909989744,0.14330810299725272
0.0,0.4,AB,TID,1.0,0.9999999999999704,1.3311827670004277,0.14259993999803555
0.0,0.4,AAAABBBB,EPCID,1.0,0.9999999999998102,2.573290135998832,0.5662483609994524
0.0,0.4,AAAABBBB,TID,1.0,0.9999999999998314,1.2260575580003206,0.662011527998402
0.0,0.4,A,EPCID,1.0,0.9999999999999999,0.0875207949975447,0.06583073200090439
0.0,0.4,A,TID,1.0,0.9999999999999999,0.0910780039994278,0.10346128099990892
0.0,0.4,ABABx,EPCID,1.0,0.9999931497789946,0.3304439329986053,0.39603268900100375
0.0,0.4,ABABx,TID,1.0,0.9999654041513482,0.3044579660017916,0.39215279100244516
0.0,0.4,AAAAxABABx,EPCID,1.0,0.999999999999862,0.3370697229984216,0.620593904000998
0.0,0.4,AAAAxABABx,TID,1.0,0.9999999999876844,0.294094885000959,0.6178164449993346
0.0,1.0,Ax,EPCID,1.0,0.999999999984899,0.2412834079987078,0.025865873001748696
0.0,1.0,Ax,TID,1.0,0.9999999999615817,0.2375473760002933,0.036503045997960726
0.0,1.0,AAx,EPCID,1.0,1.0000000000000024,0.3313141389990051,0.07753564399899915
0.0,1.0,AAx,TID,1.0,0.9999999999999984,0.3242046990017115,0.07954950600105803
0.0,1.0,AAAAx,EPCID,1.0,0.9999999999999997,0.3679337929970643,0.20373645599829615
0.0,1.0,AAAAx,TID,1.0,1.0000000000000016,0.3582300559974101,0.26562565099811764
0.0,1.0,AB,EPCID,1.0,0.9999999999999736,6.776354308000009,0.08495215799848665
0.0,1.0,AB,TID,1.0,0.9999999999999334,3.251717123999697,0.08190856899818755
0.0,1.0,AAAABBBB,EPCID,1.0,0.9999999999997803,4.492963567001425,0.43607664800219936
0.0,1.0,AAAABBBB,TID,1.0,0.9999999999992871,2.5372773460003373,0.9409820660002879
0.0,1.0,A,EPCID,1.0,1.0,0.1627052189978712,0.026341818000219064
0.0,1.0,A,TID,1.0,1.0,0.1639107670016528,0.026456510997377336
0.0,1.0,ABABx,EPCID,1.0,1.0000000000000009,0.7930744790028257,0.3055958990007639
0.0,1.0,ABABx,TID,1.0,0.9999999999999973,0.6922187769996526,0.3055410300003132
0.0,1.0,AAAAxABABx,EPCID,1.0,1.0000000000000056,0.5823461110012431,0.4619916759984335
0.0,1.0,AAAAxABABx,TID,1.0,1.0000000000000042,0.5443212210011552,0.5722571090009296
0.0025,0.2,Ax,EPCID,0.4743333333333333,0.46258937507384557,0.0576201340008992,0.22917621699889423
0.0025,0.2,Ax,TID,0.3716666666666666,0.3601090397902048,0.0535485530017467,0.26679418399726273
0.0025,0.2,AAx,EPCID,0.7423333333333333,0.714361375039543,0.1018764799991913,0.3714646910011652
0.0025,0.2,AAx,TID,0.621,0.593969252569469,0.1018415530015772,0.3699653190014942
0.0025,0.2,AAAAx,EPCID,0.95,0.9357346665383041,0.1936331309989327,0.6495289749982476
0.0025,0.2,AAAAx,TID,0.8696666666666667,0.8575226386337426,0.192150472998037,0.6764289290003944
0.0025,0.2,AB,EPCID,1.0,0.9999999980100995,1.7308951529994374,0.3847252169980493
0.0025,0.2,AB,TID,1.0,0.999992072656285,1.2106874669989338,0.43159030599781545
0.0025,0.2,AAAABBBB,EPCID,1.0,0.9999999999496771,1.582617954001762,1.1468703049977194
0.0025,0.2,AAAABBBB,TID,1.0,0.9999982115276247,1.1061722900012685,1.734962459999224
0.0025,0.2,A,EPCID,0.7326666666666667,0.6973619183491713,0.0744578530029684,0.307541244001186
0.0025,0.2,A,TID,0.5346666666666666,0.5049203678601716,0.0763031610003963,0.3270698260021163
0.0025,0.2,ABABx,EPCID,0.7816666666666666,0.7780797018726316,0.138388291998126,0.7823395279992837
0.0025,0.2,ABABx,TID,0.706,0.6959182932503022,0.1334526169994205,0.775822085000982
0.0025,0.2,AAAAxABABx,EPCID,0.9006666666666666,0.8816397083024834,0.1665582719979284,1.244292522998876
0.0025,0.2,AAAAxABABx,TID,0.79,0.7933930073841649,0.1609581960001378,1.2480052350001642
0.0025,0.4,Ax,EPCID,0.9823333333333332,0.9826338648988455,0.0993024810013594,0.07024596900009783
0.0025,0.4,Ax,TID,0.938,0.9347546808449464,0.1025500769974314,0.10933336000016425
0.0025,0.4,AAx,EPCID,1.0,0.9998861402306748,0.1894529700002749,0.1403838740006904
0.0025,0.4,AAx,TID,0.9966666666666668,0.9973523078492956,0.1834297770001285,0.15689237300102832
0.0025,0.4,AAAAx,EPCID,1.0,0.9999999987971462,0.3240103329990234,0.2970969599991804
0.0025,0.4,AAAAx,TID,1.0,0.999991283605124,0.308472033997532,0.2960737840003276
0.0025,0.4,AB,EPCID,1.0,0.9999999999999577,2.861418694999884,0.14219721500194282
0.0025,0.4,AB,TID,1.0,0.9999999999999583,1.6718338780010529,0.14201004300048226
0.0025,0.4,AAAABBBB,EPCID,1.0,0.9999999999997777,2.6322085350002453,0.5675110349984607
0.0025,0.4,AAAABBBB,TID,1.0,0.999999999999758,1.566992771000514,0.567249042000185
0.0025,0.4,A,EPCID,0.7326666666666667,0.6973619183491715,0.0884484500020335,0.0668435120023787
0.0025,0.4,A,TID,0.5346666666666666,0.5049203678601715,0.0941571230032423,0.08118650899996283
0.0025,0.4,ABABx,EPCID,1.0,0.999925645633915,0.3264104119989497,0.39763940799821285
0.0025,0.4,ABABx,TID,0.999,0.9989310836111008,0.3051732810017711,0.3938928399984434
0.0025,0.4,AAAAxABABx,EPCID,1.0,0.9999997082960925,0.3281866090001131,0.6157959219999611
0.0025,0.4,AAAAxABABx,TID,1.0,0.9999049185405172,0.3102241050000884,0.6285748869995587
0.0025,1.0,Ax,EPCID,1.0,0.9999992426197118,0.2384540820021357,0.02611207399968407
0.0025,1.0,Ax,TID,1.0,0.9998638457312519,0.2392894650001835,0.03674011999828508
0.0025,1.0,AAx,EPCID,1.0,0.9999999999025934,0.3491750859975582,0.07842613499815343
0.0025,1.0,AAx,TID,1.0,0.9999987400368301,0.3390688409999711,0.07820826600072905
0.0025,1.0,AAAAx,EPCID,1.0,0.9999999999949016,0.3785181079983886,0.20440493000205606
0.0025,1.0,AAAAx,TID,1.0,0.9999997823445919,0.3739068539980508,0.2650833200023044
0.0025,1.0,AB,EPCID,1.0,0.9999999999999655,7.119601071997749,0.10110977399745025
0.0025,1.0,AB,TID,1.0,0.9999999999999138,3.973478987001727,0.10313551500075846
0.0025,1.0,AAAABBBB,EPCID,1.0,0.9999999999998942,4.7397342510012095,0.9904256789995998
0.0025,1.0,AAAABBBB,TID,1.0,0.9999999999996994,3.1971353609988,0.9812690780017874
0.0025,1.0,A,EPCID,0.7326666666666667,0.6973619183491715,0.1632791000010911,0.02586858500217204
0.0025,1.0,A,TID,0.5346666666666666,0.5049203678601715,0.1635433830015245,0.02597186799903284
0.0025,1.0,ABABx,EPCID,1.0,0.9999999999999671,0.7907502649977687,0.30428754999957164
0.0025,1.0,ABABx,TID,1.0,0.9999999997103846,0.7333432849991368,0.30377060499813524
0.0025,1.0,AAAAxABABx,EPCID,1.0,0.9999999999992145,0.5922838369988312,0.4712127850034449
0.0025,1.0,AAAAxABABx,TID,1.0,0.9999999952712184,0.5606470099992293,0.5753805240019574
0.005,0.2,Ax,EPCID,0.35,0.33893193295489565,0.0549105190002592,0.23022882000077516
0.005,0.2,Ax,TID,0.2153333333333333,0.19430519811353683,0.0543154530023457,0.23867458300082944
0.005,0.2,AAx,EPCID,0.6096666666666667,0.563143481552349,0.1016023230004066,0.3666758379986277
0.005,0.2,AAx,TID,0.378,0.35053767874055697,0.1021766810008557,0.369363448000513
0.005,0.2,AAAAx,EPCID,0.8706666666666667,0.8324743695548527,0.1866398070014838,0.6354865239991341
0.005,0.2,AAAAx,TID,0.626,0.6019246691365936,0.1850742599999648,0.6511922249992494
0.005,0.2,AB,EPCID,1.0,0.999999853868887,1.7106570770010876,0.39269954999690526
0.005,0.2,AB,TID,1.0,0.9993634013813522,1.374856907998037,0.42358602300009807
0.005,0.2,AAAABBBB,EPCID,1.0,0.9999999877608349,1.6183708190001198,1.1590773110001464
0.005,0.2,AAAABBBB,TID,0.9996666666666668,0.9997269421530944,1.205295538999053,1.425882390998595
0.005,0.2,A,EPCID,0.52,0.48587396373631747,0.0722698690005927,0.32272626199846854
0.005,0.2,A,TID,0.2673333333333333,0.254507768772801,0.0734075609980209,0.34270545199979097
0.005,0.2,ABABx,EPCID,0.6993333333333334,0.6847411291103769,0.1347046519986179,0.7688544759985234
0.005,0.2,ABABx,TID,0.5086666666666667,0.4818988228006821,0.1351627289986936,0.7768389630000456
0.005,0.2,AAAAxABABx,EPCID,0.7896666666666666,0.7731184100732836,0.1638539960003981,1.241048788997432
0.005,0.2,AAAAxABABx,TID,0.5773333333333334,0.5494912130404258,0.1596221140025591,1.2590808810018643
0.005,0.4,Ax,EPCID,0.9346666666666666,0.9283182503850392,0.0987023029992997,0.07082957500097109
0.005,0.4,Ax,TID,0.746,0.7217351143870815,0.103393708999647,0.08188243200129364
0.005,0.4,AAx,EPCID,0.998,0.9965741150465813,0.1892757630012056,0.14069310299964854
0.005,0.4,AAx,TID,0.9393333333333334,0.930734135722268,0.1895774719996552,0.1405546059977496
0.005,0.4,AAAAx,EPCID,1.0,0.9999917231789804,0.3267440540003008,0.29485038299753796
0.005,0.4,AAAAx,TID,0.997,0.992855692824149,0.3172413259999302,0.2931243560014991
0.005,0.4,AB,EPCID,1.0,0.9999999999998765,2.9249925800031638,0.1432678159981151
0.005,0.4,AB,TID,1.0,0.9999999999943213,1.9761317759985104,0.1445223939990683
0.005,0.4,AAAABBBB,EPCID,1.0,0.9999999999995058,2.750038198999391,0.564141409999138
