,beta,original,approx
3,0.030303030303030304,0.0005165975783895014,0.00038627126123333817
4,0.04040404040404041,0.0004846397259624515,0.00038476201377520475
5,0.05050505050505051,0.0004574510173825381,0.00038325866328150663
6,0.06060606060606061,0.00043431974234048424,0.0003817611867114964
7,0.07070707070707072,0.000414640400693988,0.0003802695611144518
8,0.08080808080808081,0.00039789785248013317,0.0003787837636293244
9,0.09090909090909091,0.00038365383325791695,0.00037730377148438864
10,0.10101010101010102,0.00037153548179723735,0.0003758295619968933
11,0.11111111111111112,0.0003612255798072493,0.0003743611125727137
12,0.12121212121212122,0.00035245424821251465,0.00037289840070600547
13,0.13131313131313133,0.0003449918826129672,0.0003714414039788594
14,0.14141414141414144,0.0003386431430014427,0.0003699901000609581
15,0.15151515151515152,0.0003332418404094892,0.0003685444667092338
16,0.16161616161616163,0.0003286465866307887,0.0003671044817675271
17,0.17171717171717174,0.0003247370931463616,0.00036567012316624783
18,0.18181818181818182,0.00032141102236967855,0.00036424136892203654
19,0.19191919191919193,0.00031858130878770907,0.00036281819713742747
20,0.20202020202020204,0.00031617387987425456,0.0003614005860005134
21,0.21212121212121213,0.00031412571711662916,0.000359988513784611
22,0.22222222222222224,0.0003123832063997897,0.0003585819588479276
23,0.23232323232323235,0.00031090073456643754,0.00035718089963323024
24,0.24242424242424243,0.0003096394954156859,0.0003557853146675146
25,0.25252525252525254,0.0003085664738852923,0.00035439518256167625
26,0.26262626262626265,0.0003076535818267149,0.0003530104820101826
27,0.27272727272727276,0.00030687692275044445,0.0003516311917907466
28,0.2828282828282829,0.000306216166295083,0.00035025729076400156
29,0.29292929292929293,0.0003056540160458406,0.0003488887578731766
30,0.30303030303030304,0.00030517575677170236,0.00034752557214377453
31,0.31313131313131315,0.00030476886922943503,0.0003461677126832501
32,0.32323232323232326,0.00030442270245127753,0.00034481515868069017
33,0.33333333333333337,0.0003041281949378938,0.0003434678894064939
34,0.3434343434343435,0.0003038776374583429,0.00034212588421205604
35,0.3535353535353536,0.00030366447124795443,0.00034078912252944984
36,0.36363636363636365,0.00030348311632160047,0.00033945758387111203
37,0.37373737373737376,0.00030332882540817243,0.0003381312478295288
38,0.38383838383838387,0.0003031975596827518,0.00033681009407692295
39,0.393939393939394,0.0003030858830435552,0.00033549410236494257
40,0.4040404040404041,0.00030299087216617435,0.00033418325252435044
